date,rot_num_away_team,away_team_name,rot_num_home_team,home_team_name,away_team_runline_open,away_team_runline_open_odds,home_team_runline_open,home_team_runline_open_odds,away_team_runline_close,away_team_runline_close_odds,home_team_runline_close,home_team_runline_close_odds,away_team_moneyline_open,home_team_moneyline_open,away_team_moneyline_close,home_team_moneyline_close,over_open,over_open_odds,under_open,under_open_odds,over_close,over_close_odds,under_close,under_close_odds
Wed Jun 01,901,Nationals,902,Mets,+1.5,-115,-1.5,-115,+1.5,+112,-1.5,-115,+180,-220,+215,-250,o9,-120,u9,100,o9.5,+105,u9,-108
Wed Jun 01,915,Royals,916,Guardians,+1.5,-170,-1.5,-170,+1.5,-155,-1.5,+145,+120,-140,+123,-140,o8,-105,u8,-115,o9.5,+100,u9,+100
Wed Jun 01,903,Padres,904,Cardinals,+1.5,-210,-1.5,-210,-1.5,+130,+1.5,-135,-105,-115,-125,+120,o8,100,u8,-120,o8.5,-105,u8,-102
Wed Jun 01,905,Marlins,906,Rockies,-1.5,+130,+1.5,+130,-1.5,+148,-1.5,+175,-108,-108,-102,-114,o11,-110,u11,-110,o10.5,-105,u10,-105
Wed Jun 01,917,Astros,918,Athletics,-1.5,-120,+1.5,-120,-1.5,-132,-1.5,+380,-210,+175,-220,+195,o7,-110,u7,-110,o7.5,+102,u7.5,-110
Wed Jun 01,907,Braves,908,Diamondbacks,-1.5,-105,+1.5,-105,-1.5,+112,+1.5,-120,-160,+140,-145,+130,o9,-115,u9,-105,o8.5,-105,u8.5,-109
Wed Jun 01,909,Giants,910,Phillies,+1.5,-195,-1.5,-195,-1.5,+155,-1.5,+175,+100,-120,+110,-115,o8,-110,u8,-110,o7.5,-105,u7.5,-105
Wed Jun 01,931,Marlins,932,Rockies,+1.5,-170,-1.5,-170,-1.5,+170,-1.5,+160,+105,-125,+160,-115,o10.5,-118,u10.5,-100,o10.5,-103,u10,-105
Wed Jun 01,921,Mariners,922,Orioles,-1.5,+125,+1.5,+125,-1.5,+125,+1.5,-130,-130,+110,-140,+128,o8.5,-110,u8.5,-110,o8.5,-118,u8.5,+110
Wed Jun 01,919,Angels,920,Yankees,+1.5,-140,-1.5,-140,+1.5,-120,-1.5,+110,+135,-155,+165,-185,o8,-110,u8,-110,o8,-105,u7.5,-105
Wed Jun 01,923,White Sox,924,Blue Jays,+1.5,-165,-1.5,-165,+1.5,-135,-1.5,+162,+115,-135,+155,-120,o8.5,-110,u8.5,-110,o8.5,+100,u8.5,-105
